created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Mar 18 13:17:45 +0000 2022;1504809281744674816;"Kanwil Kemenkumham Jatim Wisnu Nugroho Dewanto : Vaksinasi Covid-19, Upaya Lapas Jombang Capai Herd Immunity WBP @Kemenkumham_RI @Kemenkumham_Jtm #KumhamPasti #KumhamJatim   https://t.co/Rl3V2wtEfg";0;0;0;0;in;1199290696689045505;1504809281744674816;rudenim_sby;https://twitter.com/rudenim_sby/status/1504809281744674816
Fri Mar 18 13:07:24 +0000 2022;1504806675706183681;"Kanwil Kemenkumham Jatim Wisnu Nugroho Dewanto : Vaksinasi Covid-19, Upaya Lapas Jombang Capai Herd Imunity WBP @Kemenkumham_RI @Kemenkumham_Jtm #KumhamPasti #KumhamJatim   https://t.co/Hc7VLyYUPW";0;0;0;0;in;1199290696689045505;1504806675706183681;rudenim_sby;https://twitter.com/rudenim_sby/status/1504806675706183681
Fri Mar 18 13:07:09 +0000 2022;1504806614813282306;"Kanwil Kemenkumham Jatim Wisnu Nugroho Dewanto : Vaksinasi Covid-19, Upaya Lapas Jombang Capai Herd Immunity WBP  @Kemenkumham_RI @Kemenkumham_Jtm #KumhamPasti #KumhamJatim   https://t.co/Zvz48YhvXE";0;0;0;0;in;1199290696689045505;1504806614813282306;rudenim_sby;https://twitter.com/rudenim_sby/status/1504806614813282306
Thu Mar 17 05:23:56 +0000 2022;1504327655931650048;"Vaksinasi covid Royal plasa Surabaya #Suroboyowanitok   #Suroboyowanitok #Suroboyowanitok   #Suroboyowanitok https://t.co/Q7tZ1ORnbB";0;0;0;1;in;808302281862955008;1504327655931650048;beritapolisi;https://twitter.com/beritapolisi/status/1504327655931650048
Thu Mar 17 05:08:25 +0000 2022;1504323748769402881;"Untuk meningkatkan capaian vaksinasi Covid-19, petugas Kecamatan Simokerto, Surabaya, menggelar vaksiansi hunter dari rumah ke rumah. Sejumlah warga ditemukan belum mendapatkan aksinasi dosis kedua.  #CNNIDNewsHour https://t.co/ns6OyEyJew https://t.co/GaSjWhlXgk";0;1;0;1;in;3306771829;1504323748769402881;CNNIDdaily;https://twitter.com/CNNIDdaily/status/1504323748769402881
Tue Mar 15 07:57:49 +0000 2022;1503641604451889155;"Partai Golkar Jatim Gelar Vaksinasi Booster Covid-19 di Kota Surabaya https://t.co/0IGwZ5cOFI #jatim";0;0;0;1;in;120097058;1503641604451889155;portalsurya;https://twitter.com/portalsurya/status/1503641604451889155
Fri Mar 11 12:17:59 +0000 2022;1502257525387034628;"#SahabatBBPOMSurabaya, kenali cara vaksin bekerja.   Vaksin #Covid19 yang telah dikeluarkan persetujuan penggunaannya oleh BPOM telah melalui tahapan penilaian mutu, keamanan dan efektivitas sehingga aman digunakan 😊  #BBPOMSurabaya #BPOMRI #VaksinCovid19 #lawancovid19 https://t.co/gt6WyCBOow";0;0;1;2;in;2805062232;1502257525387034628;BPOM_Surabaya;https://twitter.com/BPOM_Surabaya/status/1502257525387034628
Fri Mar 11 02:06:12 +0000 2022;1502103564726173696;""Segala upaya sudah kami lakukan bersama dengan stakeholder untuk menganatasi pandemi Covid-19, diantaranya melalui mobil vaksin keliling, menjangkau masyarakat di wilayah terluar Surabaya.";0;1;0;0;in;1448139197072621577;1502103395561512961;satnarkoba_sby;https://twitter.com/satnarkoba_sby/status/1502103564726173696
Fri Mar 11 02:06:11 +0000 2022;1502103562540957700;"Vaksinasi juga begitu, Polrestabes Surabaya menjadi yang terdepan dalam melaksanakan program pendampingan vaksinasi oleh pemerintah kota Surabaya untuk mengatasi Pandemi Covid-19.";0;1;0;0;in;1448139197072621577;1502103395561512961;satnarkoba_sby;https://twitter.com/satnarkoba_sby/status/1502103562540957700
Wed Mar 09 13:11:02 +0000 2022;1501546100750434305;"#SahabatBBPOMSurabaya, apakah vaksin adalah obat? Simak informasi berikut untuk keterangan lebih lengkap  #BBPOMSurabaya #BPOMRI #vaksin #covid19 #lawancovid19 https://t.co/mdCSz9T42n";0;0;0;0;in;2805062232;1501546100750434305;BPOM_Surabaya;https://twitter.com/BPOM_Surabaya/status/1501546100750434305
Sun Mar 06 20:55:25 +0000 2022;1500575804622655489;"Bolehlah Menunda Vaksinasi Covid-19 pada Anak, by RS PHC Surabaya... https://t.co/mvz6WjKtCR";0;0;0;1;in;1049856373;1500575804622655489;sanderbiy7;https://twitter.com/sanderbiy7/status/1500575804622655489
Fri Mar 04 13:51:21 +0000 2022;1499744308978909185;"Benarkah vaksin dapat menurunkan imun kita? Simak informasi berikut mengenai mitos atau fakta mengenai vaksin Covid-19  #BBPOMSurabaya #BPOMRI #lawancovid #covid19 #vaksin https://t.co/2Ms5C71hrc";0;0;0;0;in;2805062232;1499744308978909185;BPOM_Surabaya;https://twitter.com/BPOM_Surabaya/status/1499744308978909185
Wed Mar 02 04:29:00 +0000 2022;1498878013039341568;"Kemenkumham Jatim, Wisnu Nugroho Dewanto: Sinergi Bersama TNI, Lapas Surabaya Gelar Vaksinasi COVID-19 Dosis Ketiga @Kemenkumham_RI @Kemenkumham_Jtm #KumhamPasti #KumhamJatim https://t.co/6g3cbKwF2r";0;0;0;0;in;1425300324324057089;1498878013039341568;Lapassustik_Pmk;https://twitter.com/Lapassustik_Pmk/status/1498878013039341568
Wed Mar 02 04:28:49 +0000 2022;1498877967774412800;"Kemenkumham Jatim, Wisnu Nugroho Dewanto: Gandeng TNI, Lapas Surabaya Gelar Vaksinasi COVID-19 Dosis Ketiga @Kemenkumham_RI @Kemenkumham_Jtm #KumhamPasti #KumhamJatim https://t.co/RlXcNWimE4";0;0;0;0;in;1425300324324057089;1498877967774412800;Lapassustik_Pmk;https://twitter.com/Lapassustik_Pmk/status/1498877967774412800
Wed Mar 02 04:28:39 +0000 2022;1498877923822309376;"Kemenkumham Jatim, Wisnu Nugroho Dewanto: Sinergi Bersama TNI, Lapas Surabaya Gelar Vaksinasi Covid-19 Dosis Ketiga @Kemenkumham_RI @Kemenkumham_Jtm #KumhamPasti #KumhamJatim https://t.co/9r1oW9mZW8";0;0;0;0;in;1425300324324057089;1498877923822309376;Lapassustik_Pmk;https://twitter.com/Lapassustik_Pmk/status/1498877923822309376
